Id,LotArea,SalePrice,Neighborhood
684,11248,285000,CollgCr
691,4426,141000,CollgCr
705,8400,213000,CollgCr
720,9920,128500,CollgCr
722,4426,143000,CollgCr
728,7314,194500,CollgCr
733,11404,222500,CollgCr
740,9313,190000,CollgCr
753,9236,217000,CollgCr
757,10769,212000,CollgCr
769,9100,216837,CollgCr
777,11210,221500,CollgCr
783,16285,187100,CollgCr
803,8199,189000,CollgCr
812,4438,144500,CollgCr
816,12137,224900,CollgCr
821,7226,183000,CollgCr
833,9548,237000,CollgCr
839,9525,144000,CollgCr
848,15523,133500,CollgCr
851,4435,131500,CollgCr
857,10970,147000,CollgCr
872,8750,200500,CollgCr
880,7000,136500,CollgCr
912,9286,143500,CollgCr
929,11838,236500,CollgCr
934,8487,190000,CollgCr
939,8760,239799,CollgCr
949,14006,192500,CollgCr
953,7200,133900,CollgCr
959,8450,185000,CollgCr
964,11923,239000,CollgCr
984,11250,255900,CollgCr
994,8846,173900,CollgCr
1000,6762,206000,CollgCr
1006,8385,149900,CollgCr
1017,11883,203000,CollgCr
1022,7406,194000,CollgCr
1026,7700,112500,CollgCr
1034,8125,230000,CollgCr
1038,9240,287000,CollgCr
1048,9245,145000,CollgCr
1052,11175,200141,CollgCr
1055,11367,255000,CollgCr
1075,8556,194000,CollgCr
1079,4435,155900,CollgCr
1080,8775,126000,CollgCr
1083,8749,192000,CollgCr
1096,9317,176432,CollgCr
1122,10084,212900,CollgCr
1143,9965,424870,CollgCr
1167,10475,245350,CollgCr
1189,8935,195000,CollgCr
1199,9100,178000,CollgCr
1202,10400,197900,CollgCr
1204,9750,213000,CollgCr
1208,9135,200000,CollgCr
1238,12393,195000,CollgCr
1241,8158,224900,CollgCr
1279,9473,237000,CollgCr
1281,9808,227000,CollgCr
1283,8800,150500,CollgCr
1308,8072,138000,CollgCr
1312,8814,203000,CollgCr
1317,10226,295493,CollgCr
1319,14781,275000,CollgCr
1332,10780,132500,CollgCr
1339,13450,200000,CollgCr
1340,9560,128500,CollgCr
1343,9375,228500,CollgCr
1345,11103,155835,CollgCr
1355,10316,235000,CollgCr
1367,9179,193000,CollgCr
1369,4435,144000,CollgCr
1370,10635,232000,CollgCr
1373,9750,274300,CollgCr
1391,9100,235000,CollgCr
1403,6762,193879,CollgCr
1407,8445,133000,CollgCr
1411,12420,230000,CollgCr
1423,4435,136500,CollgCr
1442,4426,149300,CollgCr
1445,8500,179600,CollgCr
1448,10000,240000,CollgCr
4,9550,140000,Crawfor
93,13360,163500,Crawfor
114,21000,217000,Crawfor
115,7259,259500,Crawfor
182,7588,200100,Crawfor
191,10570,315000,Crawfor
219,15660,311500,Crawfor
252,4750,235000,Crawfor
300,14000,158500,Crawfor
301,15750,157000,Crawfor
408,15576,177000,Crawfor
418,22420,239000,Crawfor
439,4280,90350,Crawfor
464,11988,188700,Crawfor
504,15602,289000,Crawfor
515,10594,96500,Crawfor
520,10918,234000,Crawfor
530,32668,200624,Crawfor
599,12984,217500,Crawfor
609,12168,359100,Crawfor
658,7200,149000,Crawfor
670,11600,137500,Crawfor
674,14442,257500,Crawfor
727,21695,222000,Crawfor
853,7128,164000,Crawfor
861,7642,189950,Crawfor
908,11500,250000,Crawfor
914,6270,145000,Crawfor
956,7136,145000,Crawfor
967,9600,160000,Crawfor
1013,10592,165000,Crawfor
1035,6305,119750,Crawfor
1060,11275,220000,Crawfor
1076,13125,219500,Crawfor
1148,12000,174500,Crawfor
1153,14115,230000,Crawfor
1162,14778,224000,Crawfor
1175,16560,239000,Crawfor
1179,7681,154900,Crawfor
1182,5587,392500,Crawfor
1236,13132,138887,Crawfor
1245,11435,230000,Crawfor
1269,14100,381000,Crawfor
1275,5362,139000,Crawfor
1302,7500,177500,Crawfor
1311,17500,335000,Crawfor
1344,7558,177000,Crawfor
1406,3842,275000,Crawfor
1420,16381,223000,Crawfor
1441,11526,191000,Crawfor
1458,9042,266500,Crawfor
40,6040,82000,Edwards
98,10921,94750,Edwards
99,10625,83000,Edwards
111,9525,136900,Edwards
118,8536,155000,Edwards
146,2522,130000,Edwards
156,9600,79000,Edwards
166,10106,127500,Edwards
176,12615,243000,Edwards
183,9060,120000,Edwards
194,2522,130000,Edwards
201,8546,140000,Edwards
211,5604,98000,Edwards
212,10420,186000,Edwards
240,8741,113000,Edwards
270,7917,148000,Edwards
293,11409,131000,Edwards
309,12342,82500,Edwards
353,9084,95000,Edwards
363,7301,198500,Edwards
376,10020,61000,Edwards
387,8410,81000,Edwards
388,7200,125000,Edwards
391,8405,119000,Edwards
396,9571,129000,Edwards
411,9571,60000,Edwards
419,8160,126000,Edwards
440,12354,110000,Edwards
442,12108,118000,Edwards
446,9855,127500,Edwards
473,3675,148000,Edwards
503,9170,140000,Edwards
524,40094,184750,Edwards
529,9098,86000,Edwards
536,7000,107500,Edwards
554,8777,108000,Edwards
563,13907,108000,Edwards
564,21780,185000,Edwards
583,11841,118500,Edwards
608,7800,225000,Edwards
621,8248,67000,Edwards
639,8777,85000,Edwards
648,10452,155000,Edwards
652,9084,108000,Edwards
660,9937,167000,Edwards
664,10012,137500,Edwards
672,6629,103600,Edwards
698,6420,123500,Edwards
724,8172,135000,Edwards
725,13286,320000,Edwards
739,10800,179000,Edwards
750,8405,98000,Edwards
772,8877,102000,Edwards
773,7819,107000,Edwards
815,8248,116000,Edwards
840,11767,130500,Edwards
881,7024,157000,Edwards
888,16466,135500,Edwards
918,17140,135000,Edwards
922,8777,145900,Edwards
943,7711,150000,Edwards
955,9400,127500,Edwards
979,9450,110000,Edwards
986,10880,125000,Edwards
1001,10206,82000,Edwards
1012,9825,100000,Edwards
1021,7024,176000,Edwards
1036,11500,84000,Edwards
1046,13680,139600,Edwards
1050,11100,84900,Edwards
1054,8562,144500,Edwards
1073,7585,91500,Edwards
1074,7950,159500,Edwards
1089,2522,137500,Edwards
1123,8926,112000,Edwards
1124,9405,118000,Edwards
1145,12180,80000,Edwards
1152,17755,149900,Edwards
1169,13728,235000,Edwards
1180,8335,93000,Edwards
1186,9738,104900,Edwards
1213,9340,113000,Edwards
1255,6931,165400,Edwards
1258,4060,99900,Edwards
1274,11512,177000,Edwards
1295,8172,115000,Edwards
1298,3675,140000,Edwards
1299,63887,160000,Edwards
1305,3363,130000,Edwards
1315,8190,119000,Edwards
1320,10215,111000,Edwards
1327,4270,79000,Edwards
1333,8877,100000,Edwards
1378,10998,117000,Edwards
1381,8212,58500,Edwards
1385,9060,105000,Edwards
1424,19690,274970,Edwards
1449,11767,112000,Edwards
1453,3675,145000,Edwards
1460,9937,147500,Edwards
51,13869,177000,Gilbert
73,10141,185000,Gilbert
85,8530,168500,Gilbert
87,11911,174000,Gilbert
96,9765,185000,Gilbert
112,7750,180000,Gilbert
132,12224,244000,Gilbert
148,9505,222500,Gilbert
160,19378,320000,Gilbert
169,8244,183500,Gilbert
206,11851,180500,Gilbert
222,8068,200000,Gilbert
235,7851,216500,Gilbert
256,8738,230000,Gilbert
267,11207,185000,Gilbert
278,19138,141000,Gilbert
311,7685,165600,Gilbert
316,7795,188500,Gilbert
335,9042,192000,Gilbert
357,9248,173000,Gilbert
371,8121,172400,Gilbert
380,8123,179000,Gilbert
405,10364,168000,Gilbert
412,34650,145000,Gilbert
416,8899,181134,Gilbert
434,10839,181000,Gilbert
448,11214,199900,Gilbert
493,15578,172785,Gilbert
535,9056,178000,Gilbert
545,17104,179665,Gilbert
559,21872,175000,Gilbert
574,9967,170000,Gilbert
617,7861,183200,Gilbert
666,11194,230500,Gilbert
709,9018,179540,Gilbert
738,10463,239900,Gilbert
747,8795,236000,Gilbert
752,7750,162000,Gilbert
781,7875,176000,Gilbert
795,10832,194500,Gilbert
823,12394,225000,Gilbert
858,8125,174000,Gilbert
869,14762,169000,Gilbert
883,9636,178000,Gilbert
903,7875,180000,Gilbert
904,14859,240000,Gilbert
910,12589,174000,Gilbert
923,10237,169990,Gilbert
930,13006,222000,Gilbert
942,8755,214000,Gilbert
966,10237,178900,Gilbert
1019,10784,160000,Gilbert
1051,8993,176485,Gilbert
1067,7837,178000,Gilbert
1085,13031,187500,Gilbert
1108,23257,274725,Gilbert
1109,8063,181000,Gilbert
1111,8000,188000,Gilbert
1117,7750,184100,Gilbert
1125,9125,163900,Gilbert
1128,14572,259000,Gilbert
1129,11796,215000,Gilbert
1135,8773,169000,Gilbert
1168,10852,173000,Gilbert
1190,7500,189000,Gilbert
1196,8029,176000,Gilbert
1197,14054,219210,Gilbert
1212,12134,164000,Gilbert
1225,15384,184000,Gilbert
1259,9587,190000,Gilbert
1261,24682,181000,Gilbert
1301,10762,225000,Gilbert
1330,9084,176500,Gilbert
1364,8499,156932,Gilbert
1389,14892,377500,Gilbert
1402,7415,193000,Gilbert
1431,21930,192140,Gilbert
1434,10261,186500,Gilbert
1456,7917,175000,Gilbert
22,7449,139400,IDOTRR
31,8500,40000,IDOTRR
53,8472,110000,IDOTRR
62,7200,101000,IDOTRR
89,8470,85000,IDOTRR
105,7758,169500,IDOTRR
109,8500,115000,IDOTRR
122,6060,100000,IDOTRR
126,6780,84500,IDOTRR
269,6900,120500,IDOTRR
297,13710,152000,IDOTRR
308,7920,89500,IDOTRR
326,5000,87000,IDOTRR
330,6402,78000,IDOTRR
366,10690,147000,IDOTRR
399,8967,67000,IDOTRR
449,8600,119500,IDOTRR
496,7879,34900,IDOTRR
558,11040,108000,IDOTRR
602,9000,141000,IDOTRR
654,10320,135000,IDOTRR
706,5600,55000,IDOTRR
712,8712,102776,IDOTRR
730,6240,103000,IDOTRR
802,4800,109900,IDOTRR
813,8712,55993,IDOTRR
897,8765,106500,IDOTRR
917,9000,35311,IDOTRR
999,9786,91000,IDOTRR
1062,18000,81000,IDOTRR
1097,6882,127000,IDOTRR
1121,8263,118400,IDOTRR
1154,5890,120500,IDOTRR
1280,7500,68400,IDOTRR
1326,3636,55000,IDOTRR
1334,7200,125500,IDOTRR
1386,5436,125500,IDOTRR
24,4224,129900,MeadowV
76,1596,91000,MeadowV
345,2592,85000,MeadowV
358,4224,134000,MeadowV
435,1890,81000,MeadowV
490,1526,86000,MeadowV
491,2665,115000,MeadowV
615,1491,75500,MeadowV
650,1936,84500,MeadowV
916,2001,75000,MeadowV
1008,2217,88000,MeadowV
1039,1533,97000,MeadowV
1040,1477,80000,MeadowV
1069,3964,151400,MeadowV
1087,1974,83500,MeadowV
1368,2665,127000,MeadowV
1450,1533,92000,MeadowV
6,14115,143000,Mitchel
47,12822,239686,Mitchel
72,7599,129500,Mitchel
82,4500,153500,Mitchel
138,11070,171000,Mitchel
187,9947,173000,Mitchel
202,10125,171500,Mitchel
275,8314,124500,Mitchel
277,9196,201000,Mitchel
296,7937,142500,Mitchel
361,7540,156000,Mitchel
392,12209,215000,Mitchel
421,7060,206300,Mitchel
423,21750,113000,Mitchel
455,9297,188000,Mitchel
484,4500,164000,Mitchel
514,9187,134000,Mitchel
548,7244,129500,Mitchel
562,10010,170000,Mitchel
593,6600,138000,Mitchel
614,8402,147000,Mitchel
768,12508,160000,Mitchel
776,4500,162000,Mitchel
780,10530,135000,Mitchel
784,9101,165500,Mitchel
792,11333,146800,Mitchel
818,13265,271000,Mitchel
877,25286,132250,Mitchel
909,8885,131000,Mitchel
941,12640,150900,Mitchel
944,25000,143000,Mitchel
954,11075,172000,Mitchel
985,10125,126000,Mitchel
1009,12118,240000,Mitchel
1049,21750,115000,Mitchel
1132,10712,93500,Mitchel
1139,9819,196000,Mitchel
1171,9880,171000,Mitchel
1177,6951,119500,Mitchel
1191,32463,168000,Mitchel
1194,4500,165000,Mitchel
1248,12328,169900,Mitchel
1253,9858,130000,Mitchel
1284,9400,139000,Mitchel
1328,6600,130500,Mitchel
1408,8780,112000,Mitchel
1435,17400,160000,Mitchel
1447,26142,157900,Mitchel
1454,17217,84500,Mitchel
15,10920,157000,NAmes
17,11241,149000,NAmes
20,7560,139000,NAmes
27,7200,134800,NAmes
29,16321,207500,NAmes
34,10552,165500,NAmes
38,8532,153000,NAmes
39,7922,109000,NAmes
41,8658,160000,NAmes
45,7945,141000,NAmes
55,7134,130000,NAmes
56,10175,180500,NAmes
67,19900,180000,NAmes
71,13651,244000,NAmes
74,10200,144900,NAmes
77,8475,135750,NAmes
81,13000,193500,NAmes
84,8892,126500,NAmes
91,7200,109900,NAmes
92,8500,98600,NAmes
100,9320,128950,NAmes
123,9464,136000,NAmes
129,7590,155000,NAmes
130,8973,150000,NAmes
131,14200,226000,NAmes
133,7388,150750,NAmes
137,10355,143000,NAmes
141,10500,115000,NAmes
143,8520,166000,NAmes
157,7200,109500,NAmes
172,31770,215000,NAmes
174,10197,163000,NAmes
192,7472,184000,NAmes
198,25419,235000,NAmes
208,12493,141000,NAmes
210,8250,145000,NAmes
216,10011,134450,NAmes
224,10500,97000,NAmes
231,8760,148000,NAmes
248,11310,140000,NAmes
254,9350,158000,NAmes
255,8400,145000,NAmes
261,19296,176000,NAmes
274,9600,139000,NAmes
287,9786,159000,NAmes
288,8125,88000,NAmes
295,9600,167000,NAmes
312,8000,132000,NAmes
325,11275,242000,NAmes
328,11600,145250,NAmes
331,10624,119000,NAmes
332,8176,139000,NAmes
340,12400,155000,NAmes
343,8544,87500,NAmes
347,12772,151500,NAmes
348,17600,157500,NAmes
367,9500,159000,NAmes
368,9150,165000,NAmes
369,7800,132000,NAmes
370,9830,162000,NAmes
374,10634,123000,NAmes
393,8339,106500,NAmes
398,7590,169500,NAmes
420,8450,142000,NAmes
425,9000,139000,NAmes
428,8593,109008,NAmes
447,16492,190000,NAmes
467,10628,167000,NAmes
468,9480,146500,NAmes
486,9600,147000,NAmes
487,10289,156000,NAmes
492,9490,133000,NAmes
494,7931,155000,NAmes
500,7535,120000,NAmes
510,9600,124500,NAmes
511,14559,164900,NAmes
513,9100,129900,NAmes
522,11988,150000,NAmes
527,13300,132000,NAmes
533,7200,107500,NAmes
538,12735,111250,NAmes
544,4058,133000,NAmes
557,14850,141000,NAmes
570,7032,135960,NAmes
571,13101,142600,NAmes
572,7332,120000,NAmes
575,10500,139000,NAmes
576,8480,118500,NAmes
581,14585,181900,NAmes
606,13600,205000,NAmes
616,8800,137500,NAmes
618,7227,105500,NAmes
626,10000,160000,NAmes
627,12342,139900,NAmes
628,9600,153000,NAmes
629,11606,135000,NAmes
630,9020,168500,NAmes
634,9250,139400,NAmes
643,13860,345000,NAmes
646,10530,143250,NAmes
647,7200,98300,NAmes
649,7700,155000,NAmes
657,10007,145500,NAmes
659,17503,97500,NAmes
663,13560,110000,NAmes
667,18450,129000,NAmes
675,9200,140000,NAmes
723,8120,124500,NAmes
726,6960,120500,NAmes
729,11475,110000,NAmes
737,8544,93500,NAmes
755,7930,156000,NAmes
761,9100,127500,NAmes
774,10150,114500,NAmes
798,7677,110000,NAmes
805,9000,118000,NAmes
807,9750,135500,NAmes
809,13400,159950,NAmes
814,9750,157900,NAmes
817,11425,137000,NAmes
831,11900,166000,NAmes
834,10004,167000,NAmes
835,7875,139950,NAmes
843,9020,174900,NAmes
844,8000,141000,NAmes
854,12095,158000,NAmes
864,7931,132500,NAmes
866,8750,148500,NAmes
871,6600,109500,NAmes
873,8892,116000,NAmes
874,12144,133000,NAmes
885,7150,100000,NAmes
887,8393,145000,NAmes
889,15865,268000,NAmes
890,12160,149500,NAmes
891,8064,122900,NAmes
896,7056,140000,NAmes
901,7340,110000,NAmes
902,8712,153000,NAmes
906,9920,128000,NAmes
911,11600,154300,NAmes
920,11029,176500,NAmes
932,9100,117500,NAmes
935,27650,242000,NAmes
947,8163,143000,NAmes
951,7200,129000,NAmes
968,7390,135000,NAmes
970,10382,140000,NAmes
971,10800,135000,NAmes
981,12122,178400,NAmes
993,9760,187000,NAmes
997,10659,136500,NAmes
1007,12155,163500,NAmes
1015,11664,119200,NAmes
1027,9300,167500,NAmes
1029,9492,105000,NAmes
1053,9500,165000,NAmes
1065,11000,154000,NAmes
1068,9760,167900,NAmes
1070,9600,135000,NAmes
1071,10152,135000,NAmes
1078,15870,138800,NAmes
1084,8800,160000,NAmes
1091,8544,92900,NAmes
1094,9230,146000,NAmes
1095,5868,129000,NAmes
1102,9758,119500,NAmes
1103,7000,135000,NAmes
1104,8910,159500,NAmes
1113,7100,129900,NAmes
1114,8923,134500,NAmes
1120,7560,133700,NAmes
1126,10434,115000,NAmes
1137,9600,119000,NAmes
1141,7350,139000,NAmes
1151,8280,124000,NAmes
1155,13700,201800,NAmes
1157,9350,179900,NAmes
1172,9120,163000,NAmes
1201,9353,116050,NAmes
1209,7763,140000,NAmes
1215,10205,134500,NAmes
1221,7800,115000,NAmes
1223,10496,143000,NAmes
1224,10680,137900,NAmes
1226,10482,145000,NAmes
1228,8872,147000,NAmes
1230,7910,127000,NAmes
1232,7728,132500,NAmes
1233,9842,101800,NAmes
1234,12160,142000,NAmes
1250,7200,119000,NAmes
1251,11160,244000,NAmes
1260,9750,151000,NAmes
1262,9600,128900,NAmes
1265,4060,181000,NAmes
1270,11344,144000,NAmes
1276,11345,137000,NAmes
1291,14112,180500,NAmes
1296,8400,138500,NAmes
1297,8700,155000,NAmes
1300,7500,154000,NAmes
1316,11075,206900,NAmes
1321,8400,156500,NAmes
1341,8294,123000,NAmes
1351,11643,200000,NAmes
1352,9247,171000,NAmes
1357,9477,110000,NAmes
1358,12537,149900,NAmes
1363,12513,104900,NAmes
1372,9600,165500,NAmes
1382,12925,237500,NAmes
1392,8944,124000,NAmes
1393,7838,123000,NAmes
1399,7200,138000,NAmes
1412,9600,140000,NAmes
1413,7200,90000,NAmes
1419,9204,124000,NAmes
1425,9503,144000,NAmes
1426,10721,142000,NAmes
1428,10930,140000,NAmes
1436,8400,174000,NAmes
1437,9000,120500,NAmes
1451,9000,136000,NAmes
1459,9717,142125,NAmes
5,14260,250000,NoRidge
86,16059,260000,NoRidge
227,9950,290000,NoRidge
232,15138,403000,NoRidge
273,11764,290000,NoRidge
319,9900,260000,NoRidge
360,12011,280000,NoRidge
404,12090,258000,NoRidge
424,9200,315000,NoRidge
497,12692,430000,NoRidge
518,10208,265000,NoRidge
525,11787,315750,NoRidge
542,11000,248000,NoRidge
565,13346,268000,NoRidge
655,10437,350000,NoRidge
662,46589,402000,NoRidge
685,16770,221000,NoRidge
692,21535,755000,NoRidge
719,10542,341000,NoRidge
749,10593,260400,NoRidge
760,12257,290000,NoRidge
764,9430,337000,NoRidge
793,9920,269790,NoRidge
982,12203,336000,NoRidge
991,9452,348000,NoRidge
1033,14541,310000,NoRidge
1058,29959,248000,NoRidge
1106,12256,325000,NoRidge
1170,35760,625000,NoRidge
1176,10678,285000,NoRidge
1183,15623,745000,NoRidge
1188,12461,262000,NoRidge
1257,14303,301500,NoRidge
1303,10120,290000,NoRidge
1313,9572,302000,NoRidge
1314,14774,333168,NoRidge
1323,10186,190000,NoRidge
1354,14720,410000,NoRidge
1374,11400,466500,NoRidge
1418,16545,340000,NoRidge
1427,10944,271000,NoRidge
127,4928,128000,NPkVill
196,2280,148500,NPkVill
505,2308,147000,NPkVill
551,4043,140000,NPkVill
676,2289,148500,NPkVill
963,2308,155000,NPkVill
1161,2280,146000,NPkVill
1422,4043,127500,NPkVill
1432,4928,143750,NPkVill
12,11924,345000,NridgHt
21,14215,325300,NridgHt
26,14230,256300,NridgHt
28,11478,306000,NridgHt
35,7313,277500,NridgHt
36,13418,309000,NridgHt
46,7658,319900,NridgHt
63,6442,202500,NridgHt
66,9591,317000,NridgHt
152,13891,372402,NridgHt
162,13688,412500,NridgHt
163,12182,220000,NridgHt
168,10562,325624,NridgHt
200,9591,274900,NridgHt
225,13472,386250,NridgHt
239,12030,318000,NridgHt
279,14450,415298,NridgHt
283,5063,207500,NridgHt
310,12378,360000,NridgHt
321,16259,342643,NridgHt
322,12099,354000,NridgHt
333,10655,284000,NridgHt
334,8198,207000,NridgHt
344,8849,266000,NridgHt
349,2448,154000,NridgHt
350,20431,437154,NridgHt
351,7820,318061,NridgHt
390,12474,426000,NridgHt
409,14154,280000,NridgHt
441,15431,555000,NridgHt
469,11428,250000,NridgHt
474,14977,440000,NridgHt
478,13693,380000,NridgHt
481,16033,326000,NridgHt
482,11846,374000,NridgHt
512,6792,202665,NridgHt
516,12220,402861,NridgHt
528,14948,446261,NridgHt
553,11146,255500,NridgHt
555,10625,284000,NridgHt
568,10171,214000,NridgHt
582,12704,253293,NridgHt
592,13478,451950,NridgHt
601,10927,275000,NridgHt
619,11694,314813,NridgHt
632,4590,209500,NridgHt
641,12677,274000,NridgHt
690,7577,194700,NridgHt
708,6240,254000,NridgHt
754,10240,275500,NridgHt
775,14226,395000,NridgHt
799,13518,485000,NridgHt
804,13891,582933,NridgHt
820,6371,224000,NridgHt
826,14803,385000,NridgHt
878,8834,350000,NridgHt
899,12919,611657,NridgHt
927,11999,285000,NridgHt
972,2268,173000,NridgHt
988,10159,395192,NridgHt
995,12456,337500,NridgHt
1043,5381,196000,NridgHt
1057,7052,185850,NridgHt
1059,11308,335000,NridgHt
1110,11362,280000,NridgHt
1116,12085,318000,NridgHt
1158,5001,230000,NridgHt
1166,9541,233170,NridgHt
1229,8769,367294,NridgHt
1237,2628,175500,NridgHt
1244,13891,465000,NridgHt
1252,3136,171750,NridgHt
1290,11065,281000,NridgHt
1306,13173,325000,NridgHt
1307,6955,202500,NridgHt
1360,16737,315000,NridgHt
1438,12444,394617,NridgHt
8,10382,200000,NWAmes
101,10603,205000,NWAmes
110,11751,190000,NWAmes
125,17043,181000,NWAmes
136,10400,174000,NWAmes
153,14803,190000,NWAmes
223,11475,179900,NWAmes
246,10400,241500,NWAmes
266,12090,175500,NWAmes
294,16659,235000,NWAmes
299,11700,175000,NWAmes
317,13005,260000,NWAmes
320,14115,187500,NWAmes
339,14145,202500,NWAmes
365,18800,190000,NWAmes
422,16635,215000,NWAmes
456,9600,175500,NWAmes
472,11952,190000,NWAmes
488,12243,175000,NWAmes
517,10448,158000,NWAmes
543,10140,213250,NWAmes
546,13837,229000,NWAmes
612,10395,148000,NWAmes
622,10800,240000,NWAmes
625,10400,165150,NWAmes
633,11900,82500,NWAmes
644,10793,152000,NWAmes
661,12384,197900,NWAmes
702,9600,140000,NWAmes
716,10140,165000,NWAmes
718,10000,157000,NWAmes
746,8963,299800,NWAmes
767,10421,196500,NWAmes
786,9790,161500,NWAmes
811,10140,181000,NWAmes
859,10400,152000,NWAmes
860,11029,250000,NWAmes
925,10240,207500,NWAmes
926,15611,175000,NWAmes
